"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
-1,0,0,0,0,40,-60,1,0
0,0,0,0,0,40,0,1.2,0
1,-0.240235955,-0.214332767,0.007247525,-0.1866683,37.498801657,60,1.2,-2.501198343
2,-0.426382023,-0.385356112,0.011643564,-0.347093444,35.489133916,120,1.2,-4.510866084
3,-0.558842697,-0.510588285,0.01390099,-0.472521291,34.007930051,180,1.2,-5.992069949
4,-0.638022472,-0.587547538,0.014732673,-0.554197702,33.092123332,240,1.2,-6.907876668
5,-0.664325843,-0.613752122,0.014851485,-0.583368537,32.778647032,300,1,-7.221352968
6,-0.593483146,-0.560676146,0.001465346,-0.560632815,33.369623562,360,1,-6.630376438
7,-0.424550562,-0.434110356,-0.030455446,-0.506416864,34.778875288,420,1,-5.221124712
8,-0.222921348,-0.283047963,-0.068554455,-0.441707503,36.460885412,480,1,-3.539114588
9,-0.053988764,-0.156482173,-0.100475247,-0.387491552,37.870137138,540,1,-2.129862862
10,0.016853933,-0.103406197,-0.113861386,-0.36475583,38.461113668,600,1.2,-1.538886332
11,-0.094157303,-0.179083192,-0.096356435,-0.39659902,37.65830833,660,1.2,-2.34169167
12,-0.358876404,-0.359543718,-0.054613861,-0.472532781,35.743926369,720,1.2,-4.256073631
13,-0.674831461,-0.574932089,-0.004792079,-0.5631634,33.459018868,780,1.2,-6.540981132
14,-0.939550562,-0.755392615,0.036950495,-0.639097161,31.544636907,840,1.2,-8.455363093
15,-1.050561798,-0.83106961,0.054455446,-0.670940351,30.741831569,900,1,-9.258168431
16,-0.934991975,-0.777208528,0.034758502,-0.661321075,31.307442252,960,1,-8.692557748
17,-0.65329053,-0.646339081,-0.012754197,-0.638285632,32.69478879,1020,1,-7.30521121
18,-0.302969503,-0.484531966,-0.070715454,-0.6105676,34.439642919,1080,1,-5.560357081
19,0.018459069,-0.33785788,-0.121758071,-0.586900557,36.077776372,1140,1,-3.922223628
20,0.213483146,-0.252387521,-0.148514851,-0.57601808,37.144960884,1200,1,-2.855039116
21,0.298863842,-0.21764823,-0.155332837,-0.574828525,37.735117951,1260,1,-2.264882049
22,0.362803406,-0.190819132,-0.159369154,-0.574179464,38.24609021,1320,1,-1.75390979
23,0.414951497,-0.169448601,-0.162471725,-0.573713302,38.669531104,1380,1,-1.330468896
24,0.464957778,-0.151085013,-0.166488475,-0.573072443,38.99709408,1440,1,-1.00290592
25,0.52247191,-0.13327674,-0.173267327,-0.57189929,39.220432582,1500,1,-0.779567418
26,0.598798241,-0.116230001,-0.198963097,-0.566308367,39.377173593,1560,1,-0.622826407
27,0.687552516,-0.101170039,-0.247546355,-0.554112299,39.509654796,1620,1,-0.490345204
28,0.77185149,-0.08717377,-0.302588659,-0.537500641,39.616595682,1680,1,-0.383404318
29,0.83481192,-0.073318107,-0.347661567,-0.518662949,39.696715742,1740,1,-0.303284258
30,0.859550562,-0.058679966,-0.366336634,-0.49978878,39.748734468,1800,1,-0.251265532
31,0.858932584,-0.043252607,-0.366138614,-0.480144636,39.784630156,1860,1,-0.215369844
32,0.854606742,-0.027646609,-0.364752476,-0.457746887,39.815937181,1920,1,-0.184062819
33,0.842865169,-0.011864859,-0.360990099,-0.432909888,39.840709156,1980,1,-0.159290844
34,0.82,0.004089755,-0.353663366,-0.405947996,39.856999693,2040,1,-0.143000307
35,0.782303371,0.020214346,-0.341584158,-0.377175566,39.862862402,2100,1,-0.137137598
