"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
-1,0,0,0,0,40,-60,1,0
-0.983333333333333,0,0,0,0,40,-59,1,0
-0.966666666666667,0,0,0,0,40,-58,1,0
-0.95,0,0,0,0,40,-57,1,0
-0.933333333333333,0,0,0,0,40,-56,1,0
-0.916666666666667,0,0,0,0,40,-55,1,0
-0.9,0,0,0,0,40,-54,1,0
-0.883333333333333,0,0,0,0,40,-53,1,0
-0.866666666666667,0,0,0,0,40,-52,1,0
-0.85,0,0,0,0,40,-51,1,0
-0.833333333333333,0,0,0,0,40,-50,1,0
-0.816666666666667,0,0,0,0,40,-49,1,0
-0.8,0,0,0,0,40,-48,1,0
-0.783333333333333,0,0,0,0,40,-47,1,0
-0.766666666666667,0,0,0,0,40,-46,1,0
-0.75,0,0,0,0,40,-45,1,0
-0.733333333333333,0,0,0,0,40,-44,1,0
-0.716666666666667,0,0,0,0,40,-43,1,0
-0.7,0,0,0,0,40,-42,1,0
-0.683333333333333,0,0,0,0,40,-41,1,0
-0.666666666666667,0,0,0,0,40,-40,1,0
-0.65,0,0,0,0,40,-39,1,0
-0.633333333333333,0,0,0,0,40,-38,1,0
-0.616666666666667,0,0,0,0,40,-37,1,0
-0.6,0,0,0,0,40,-36,1,0
-0.583333333333333,0,0,0,0,40,-35,1,0
-0.566666666666667,0,0,0,0,40,-34,1,0
-0.55,0,0,0,0,40,-33,1,0
-0.533333333333333,0,0,0,0,40,-32,1,0
-0.516666666666667,0,0,0,0,40,-31,1,0
-0.5,0,0,0,0,40,-30,1,0
-0.483333333333333,0,0,0,0,40,-29,1,0
-0.466666666666667,0,0,0,0,40,-28,1,0
-0.45,0,0,0,0,40,-27,1,0
-0.433333333333333,0,0,0,0,40,-26,1,0
-0.416666666666667,0,0,0,0,40,-25,1,0
-0.4,0,0,0,0,40,-24,1,0
-0.383333333333333,0,0,0,0,40,-23,1,0
-0.366666666666667,0,0,0,0,40,-22,1,0
-0.35,0,0,0,0,40,-21,1,0
-0.333333333333333,0,0,0,0,40,-20,1,0
-0.316666666666667,0,0,0,0,40,-19,1,0
-0.3,0,0,0,0,40,-18,1,0
-0.283333333333333,0,0,0,0,40,-17,1,0
-0.266666666666667,0,0,0,0,40,-16,1,0
-0.25,0,0,0,0,40,-15,1,0
-0.233333333333333,0,0,0,0,40,-14,1,0
-0.216666666666667,0,0,0,0,40,-13,1,0
-0.2,0,0,0,0,40,-12,1,0
-0.183333333333333,0,0,0,0,40,-11,1,0
-0.166666666666667,0,0,0,0,40,-10,1,0
-0.15,0,0,0,0,40,-9,1,0
-0.133333333333333,0,0,0,0,40,-8,1,0
-0.116666666666667,0,0,0,0,40,-7,1,0
-0.1,0,0,0,0,40,-6,1,0
-0.0833333333333334,0,0,0,0,40,-5,1,0
-0.0666666666666667,0,0,0,0,40,-4,1,0
-0.05,0,0,0,0,40,-3,1,0
-0.0333333333333333,0,0,0,0,40,-2,1,0
-0.0166666666666667,0,0,0,0,40,-1,1,0
0,0,0,0,0,40,0,1,0
0.0166666666666667,-0.00400393258333333,-0.00357221278333333,0.000120792083333333,-0.00311113833333333,39.95831336095,1,1,-0.04168663905
0.0333333333333333,-0.00800786516666667,-0.00714442556666667,0.000241584166666667,-0.00622227666666667,39.9166267219,2,1.00333333333333,-0.0833732781
0.05,-0.01201179775,-0.01071663835,0.00036237625,-0.009333415,39.87494008285,3,1.00666666666667,-0.12505991715
0.0666666666666667,-0.0160157303333333,-0.0142888511333333,0.000483168333333333,-0.0124445533333333,39.8332534438,4,1.01,-0.1667465562
0.0833333333333333,-0.0200196629166667,-0.0178610639166667,0.000603960416666667,-0.0155556916666667,39.79156680475,5,1.01333333333333,-0.20843319525
0.1,-0.0240235955,-0.0214332767,0.0007247525,-0.01866683,39.7498801657,6,1.01666666666667,-0.2501198343
0.116666666666667,-0.0280275280833333,-0.0250054894833333,0.000845544583333333,-0.0217779683333333,39.70819352665,7,1.02,-0.29180647335
0.133333333333333,-0.0320314606666667,-0.0285777022666667,0.000966336666666667,-0.0248891066666667,39.6665068876,8,1.02333333333333,-0.3334931124
0.15,-0.03603539325,-0.03214991505,0.00108712875,-0.028000245,39.62482024855,9,1.02666666666667,-0.37517975145
