"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
-1,0,0,0,0,40,-60,1,0
0,0,0,0,0,40,0,1.2,0
1,-0.204224719,-0.244531409,0.002415842,-0.227610848,38.642790612,60,1.2,-1.357209388
2,-0.36441573,-0.45498854,0.003881188,-0.422786921,37.511510355,120,1.2,-2.488489645
3,-0.479797753,-0.619729202,0.004633663,-0.575104258,36.649630925,180,1.2,-3.350369075
4,-0.549595506,-0.727111206,0.004910891,-0.674138899,36.100624022,240,1.2,-3.899375978
5,-0.573033708,-0.76549236,0.004950495,-0.709466881,35.907961344,300,1,-4.092038656
6,-0.516797753,-0.736330645,-0.002772277,-0.680852822,36.145156006,360,1,-3.854843994
7,-0.382696629,-0.666791171,-0.021188119,-0.612619297,36.710774045,420,1,-3.289225955
8,-0.22264045,-0.583792445,-0.043168317,-0.531179284,37.385866544,480,1,-2.614133456
9,-0.088539326,-0.514252971,-0.061584159,-0.462945759,37.951484583,540,1,-2.048515417
10,-0.032303371,-0.485091256,-0.069306931,-0.4343317,38.188679245,600,1.2,-1.811320755
11,-0.152078652,-0.54398854,-0.055920792,-0.474933086,37.857678785,660,1.2,-2.142321215
12,-0.437696629,-0.684435908,-0.024,-0.571751774,37.068369995,720,1.2,-2.931630005
13,-0.778595506,-0.852066638,0.01409901,-0.687309564,36.126291763,780,1.2,-3.873708237
14,-1.064213483,-0.992514006,0.046019802,-0.784128252,35.336982973,840,1.2,-4.663017027
15,-1.183988764,-1.05141129,0.059405941,-0.824729638,35.005982513,900,1,-4.994017487
16,-1.035,-0.976729054,0.039841585,-0.786820156,35.326873006,960,1,-4.673126994
17,-0.679719101,-0.795509742,-0.006811881,-0.692784733,36.113486022,1020,1,-3.886513978
18,-0.255674157,-0.571994452,-0.062495049,-0.572162906,37.101733865,1080,1,-2.898266135
19,0.099606742,-0.37042428,-0.109148515,-0.45449421,38.02752884,1140,1,-1.97247116
20,0.248595506,-0.255040323,-0.128712871,-0.369318182,38.626783249,1200,1,-1.373216751
21,0.224494382,-0.206736586,-0.128483168,-0.308769224,38.967734825,1260,1,-1.032265175
22,0.167022472,-0.16512694,-0.127825742,-0.249826618,39.277890538,1320,1,-0.722109462
23,0.098426967,-0.132532278,-0.126788119,-0.19929722,39.532066552,1380,1,-0.467933448
24,0.040955057,-0.111273493,-0.125417822,-0.163987887,39.705079029,1440,1,-0.294920971
25,0.016853933,-0.103671477,-0.123762376,-0.150705475,39.771744133,1500,1,-0.228255867
26,0.048258427,-0.105133701,-0.119852551,-0.156702433,39.776346171,1560,1,-0.223653829
27,0.123146068,-0.108620543,-0.112389337,-0.171002873,39.779949497,1620,1,-0.220050503
28,0.21252809,-0.112782258,-0.10242559,-0.188071139,39.782540346,1680,1,-0.217459654
29,0.287415731,-0.1162691,-0.091014166,-0.202371579,39.78410495,1740,1,-0.21589505
30,0.318820225,-0.117731324,-0.079207921,-0.208368537,39.784629544,1800,1,-0.215370456
31,0.318033708,-0.102922326,-0.066324448,-0.204312606,39.768187758,1860,1,-0.231812242
32,0.31252809,-0.062565789,-0.05117441,-0.192644644,39.723412793,1920,1,-0.276587207
33,0.29758427,-0.002767402,-0.034050267,-0.174114397,39.657130235,1980,1,-0.342869765
34,0.268483146,0.070367148,-0.015244478,-0.149471612,39.57616567,2040,1,-0.42383433
35,0.220505618,0.150732173,0.004950495,-0.119466036,39.487344685,2100,1,-0.512655315
