"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
-1,0,0,0,0,40,-60,1,0
-0.983333333333333,0,0,0,0,40,-59,1,0
-0.966666666666667,0,0,0,0,40,-58,1,0
-0.95,0,0,0,0,40,-57,1,0
-0.933333333333333,0,0,0,0,40,-56,1,0
-0.916666666666667,0,0,0,0,40,-55,1,0
-0.9,0,0,0,0,40,-54,1,0
-0.883333333333333,0,0,0,0,40,-53,1,0
-0.866666666666667,0,0,0,0,40,-52,1,0
-0.85,0,0,0,0,40,-51,1,0
-0.833333333333333,0,0,0,0,40,-50,1,0
-0.816666666666667,0,0,0,0,40,-49,1,0
-0.8,0,0,0,0,40,-48,1,0
-0.783333333333333,0,0,0,0,40,-47,1,0
-0.766666666666667,0,0,0,0,40,-46,1,0
-0.75,0,0,0,0,40,-45,1,0
-0.733333333333333,0,0,0,0,40,-44,1,0
-0.716666666666667,0,0,0,0,40,-43,1,0
-0.7,0,0,0,0,40,-42,1,0
-0.683333333333333,0,0,0,0,40,-41,1,0
-0.666666666666667,0,0,0,0,40,-40,1,0
-0.65,0,0,0,0,40,-39,1,0
-0.633333333333333,0,0,0,0,40,-38,1,0
-0.616666666666667,0,0,0,0,40,-37,1,0
-0.6,0,0,0,0,40,-36,1,0
-0.583333333333333,0,0,0,0,40,-35,1,0
-0.566666666666667,0,0,0,0,40,-34,1,0
-0.55,0,0,0,0,40,-33,1,0
-0.533333333333333,0,0,0,0,40,-32,1,0
-0.516666666666667,0,0,0,0,40,-31,1,0
-0.5,0,0,0,0,40,-30,1,0
-0.483333333333333,0,0,0,0,40,-29,1,0
-0.466666666666667,0,0,0,0,40,-28,1,0
-0.45,0,0,0,0,40,-27,1,0
-0.433333333333333,0,0,0,0,40,-26,1,0
-0.416666666666667,0,0,0,0,40,-25,1,0
-0.4,0,0,0,0,40,-24,1,0
-0.383333333333333,0,0,0,0,40,-23,1,0
-0.366666666666667,0,0,0,0,40,-22,1,0
-0.35,0,0,0,0,40,-21,1,0
-0.333333333333333,0,0,0,0,40,-20,1,0
-0.316666666666667,0,0,0,0,40,-19,1,0
-0.3,0,0,0,0,40,-18,1,0
-0.283333333333333,0,0,0,0,40,-17,1,0
-0.266666666666667,0,0,0,0,40,-16,1,0
-0.25,0,0,0,0,40,-15,1,0
-0.233333333333333,0,0,0,0,40,-14,1,0
-0.216666666666667,0,0,0,0,40,-13,1,0
-0.2,0,0,0,0,40,-12,1,0
-0.183333333333333,0,0,0,0,40,-11,1,0
-0.166666666666667,0,0,0,0,40,-10,1,0
-0.15,0,0,0,0,40,-9,1,0
-0.133333333333333,0,0,0,0,40,-8,1,0
-0.116666666666667,0,0,0,0,40,-7,1,0
-0.1,0,0,0,0,40,-6,1,0
-0.0833333333333334,0,0,0,0,40,-5,1,0
-0.0666666666666667,0,0,0,0,40,-4,1,0
-0.05,0,0,0,0,40,-3,1,0
-0.0333333333333333,0,0,0,0,40,-2,1,0
-0.0166666666666667,0,0,0,0,40,-1,1,0
0,0,0,0,0,40,0,1,0
0.0166666666666667,-0.00340374531666667,-0.00407552348333333,4.02640333333333e-05,-0.00379351413333333,39.9773798435333,1,1,-0.0226201564666667
0.0333333333333333,-0.00680749063333333,-0.00815104696666667,8.05280666666667e-05,-0.00758702826666667,39.9547596870667,2,1.00333333333333,-0.0452403129333333
0.05,-0.01021123595,-0.01222657045,0.0001207921,-0.0113805424,39.9321395306,3,1.00666666666667,-0.0678604694
0.0666666666666667,-0.0136149812666667,-0.0163020939333333,0.000161056133333333,-0.0151740565333333,39.9095193741333,4,1.01,-0.0904806258666667
0.0833333333333333,-0.0170187265833333,-0.0203776174166667,0.000201320166666667,-0.0189675706666667,39.8868992176667,5,1.01333333333333,-0.113100782333333
0.1,-0.0204224719,-0.0244531409,0.0002415842,-0.0227610848,39.8642790612,6,1.01666666666667,-0.1357209388
0.116666666666667,-0.0238262172166667,-0.0285286643833333,0.000281848233333333,-0.0265545989333333,39.8416589047333,7,1.02,-0.158341095266667
0.133333333333333,-0.0272299625333333,-0.0326041878666667,0.000322112266666667,-0.0303481130666667,39.8190387482667,8,1.02333333333333,-0.180961251733333
0.15,-0.03063370785,-0.03667971135,0.0003623763,-0.0341416272,39.7964185918,9,1.02666666666667,-0.2035814082
