"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
-1,0,0,0,0,40,-60,1,0
0,0,0,0,0,40,0,1.2,0
1,0.157853932,0.041711375,-0.060588597,-0.017879595,39.158508974,60,1.2,-0.841491026
2,0.29541573,0.072559847,-0.116023216,-0.038297452,38.501132075,120,1.2,-1.498867925
3,0.404191011,0.093460951,-0.163935814,-0.060961724,38.029526001,180,1.2,-1.970473999
4,0.475685393,0.105330221,-0.201958347,-0.085580562,37.745347446,240,1.2,-2.254652554
5,0.501404494,0.109083192,-0.227722772,-0.111862116,37.650253106,300,1,-2.349746894
6,0.491835206,0.094997066,-0.245962444,-0.145821074,37.887447768,360,1,-2.112552232
7,0.466797752,0.060935596,-0.2622028,-0.188138417,38.453065808,420,1,-1.546934192
8,0.431797752,0.01919414,-0.275263913,-0.230521736,39.128158306,480,1,-0.871841694
9,0.392340824,-0.01793194,-0.283965859,-0.26467862,39.693776346,540,1,-0.306223654
10,0.353932584,-0.038147284,-0.287128713,-0.282316661,39.930971008,600,1.2,-0.069028992
11,0.306760299,-0.045340557,-0.27219802,-0.288454459,39.621316153,660,1.2,-0.378683847
12,0.246404494,-0.051414005,-0.236594059,-0.293525186,38.882908422,720,1.2,-1.117091578
13,0.186460674,-0.056092642,-0.19409901,-0.297358291,38.001583065,780,1.2,-1.998416935
14,0.140524344,-0.059101481,-0.158495049,-0.299783225,37.263175334,840,1.2,-2.736824666
15,0.122191011,-0.060165535,-0.143564356,-0.300629436,36.953520479,900,1,-3.046479521
16,0.173314607,-0.038127335,-0.162613861,-0.284332207,37.298017488,960,1,-2.701982512
17,0.295224719,0.014425297,-0.208039604,-0.245469585,38.119510355,1020,1,-1.880489645
18,0.440730337,0.077149406,-0.262257425,-0.199085164,39.100001841,1080,1,-0.899998159
19,0.562640449,0.129702038,-0.307683168,-0.160222542,39.921494708,1140,1,-0.078505292
20,0.613764045,0.151740238,-0.326732673,-0.143925313,40.265991717,1200,1,0.265991717
21,0.606685393,0.146514856,-0.322384158,-0.159319703,40.181375058,1260,1,0.181375058
22,0.588595506,0.13405433,-0.31190495,-0.196029402,39.979596871,1320,1,-0.020403129
23,0.564213483,0.119182088,-0.299144554,-0.239844204,39.738764841,1380,1,-0.261235159
24,0.538258427,0.106721562,-0.287952475,-0.276553903,39.536986654,1440,1,-0.463013346
25,0.515449438,0.10149618,-0.282178218,-0.291948293,39.452369995,1500,1,-0.547630005
26,0.492640449,0.108294939,-0.280776238,-0.27213856,39.453710078,1560,1,-0.546289922
27,0.466685393,0.124557992,-0.279912871,-0.224899966,39.45690566,1620,1,-0.54309434
28,0.44230337,0.144085503,-0.279255446,-0.168518418,39.460719742,1680,1,-0.539280258
29,0.424213483,0.160677634,-0.278471287,-0.121279824,39.463915324,1740,1,-0.536084676
30,0.417134831,0.16813455,-0.277227723,-0.101470091,39.465255407,1800,1,-0.534744593
31,0.425786516,0.168881788,-0.275025743,-0.10152636,39.396911182,1860,1,-0.603088818
32,0.450393258,0.16947392,-0.271730693,-0.101920243,39.211258168,1920,1,-0.788741832
33,0.488932584,0.169904656,-0.267556436,-0.102989354,38.937365853,1980,1,-1.062634147
34,0.539382022,0.170167709,-0.262716832,-0.105071308,38.604303727,2040,1,-1.395696273
35,0.599719101,0.170256791,-0.257425743,-0.108503717,38.241141279,2100,1,-1.758858721
