"Time","TOI","HbO2","HHb","HbT","PaCO2","t","u","EtCO2"
-1,0,0,0,0,40,-60,1,0
0,0,0,0,0,40,0,1.2,0
1,-0.224730337,-0.219839983,0.058574257,-0.148620818,37.569884952,60,1.2,-2.430115048
2,-0.389134832,-0.397573854,0.097306931,-0.27208077,35.656916705,120,1.2,-4.343083295
3,-0.499179775,-0.529325551,0.120118812,-0.365861101,34.27423838,180,1.2,-5.72576162
4,-0.560831461,-0.611219015,0.130930693,-0.425443055,33.434993097,240,1.2,-6.565006903
5,-0.58005618,-0.639378183,0.133663366,-0.446307874,33.152323976,300,1,-6.847676024
6,-0.493876405,-0.589679117,0.102772277,-0.419473133,33.807528762,360,1,-6.192471238
7,-0.288370787,-0.471165959,0.029108911,-0.355482595,35.369940175,420,1,-4.630059825
8,-0.043089887,-0.329714771,-0.058811882,-0.279106793,37.234753796,480,1,-2.765246204
9,0.162415731,-0.211201613,-0.132475248,-0.215116255,38.797165209,540,1,-1.202834791
10,0.248595506,-0.161502547,-0.163366337,-0.188281514,39.452369995,600,1.2,-0.547630005
11,0.134662922,-0.236765705,-0.137623763,-0.238267151,38.864073631,660,1.2,-1.135926369
12,-0.137022472,-0.416239389,-0.076237624,-0.35746367,37.461213069,720,1.2,-2.538786931
13,-0.461292134,-0.630449915,-0.002970297,-0.499730483,35.786831109,780,1.2,-4.213168891
14,-0.732977528,-0.809923599,0.058415842,-0.618927002,34.383970547,840,1.2,-5.616029453
15,-0.846910112,-0.885186757,0.084158416,-0.668912639,33.795674183,900,1,-6.204325817
16,-0.709606741,-0.818696944,0.057386139,-0.612745522,34.388502106,960,1,-5.611497894
17,-0.382191011,-0.660144312,-0.006455446,-0.47880855,35.809666467,1020,1,-4.190333533
18,0.008595506,-0.470904075,-0.082653465,-0.318948293,37.52318815,1080,1,-2.47681185
19,0.336011236,-0.312351443,-0.14649505,-0.185011321,38.99308804,1140,1,-1.00691196
20,0.473314607,-0.24586163,-0.173267327,-0.128844204,39.683387023,1200,1,-0.316612977
21,0.436797753,-0.257377335,-0.166574258,-0.149504055,39.783059146,1260,1,-0.216940854
22,0.349719101,-0.284837861,-0.150613862,-0.198769854,39.849045398,1320,1,-0.150954602
23,0.245786517,-0.317613328,-0.131564356,-0.25757097,39.89731708,1380,1,-0.10268292
24,0.158707865,-0.345073854,-0.11560396,-0.306836769,39.943845491,1440,1,-0.056154509
25,0.122191011,-0.356589559,-0.108910891,-0.32749662,40.004601933,1500,1,0.004601933
26,0.139411334,-0.340841681,-0.111947195,-0.311805677,40.09566897,1560,1,0.09566897
27,0.182278945,-0.303289049,-0.12,-0.274388814,40.206978718,1620,1,0.206978718
28,0.237603811,-0.258468167,-0.131485149,-0.229729976,40.315276808,1680,1,0.315276808
29,0.292195897,-0.220915535,-0.144818482,-0.192313113,40.397308867,1740,1,0.397308867
30,0.332865169,-0.205167657,-0.158415842,-0.17662217,40.429820525,1800,1,0.429820525
31,0.36128725,-0.216848896,-0.173201321,-0.193231666,40.429098942,1860,1,0.429098942
32,0.38745237,-0.250285654,-0.19089109,-0.240038865,40.42404786,1920,1,0.42404786
33,0.410642404,-0.303067487,-0.211089109,-0.312511829,40.410337782,1980,1,0.410337782
34,0.430139228,-0.372783956,-0.23339934,-0.406118622,40.383639209,2040,1,0.383639209
35,0.445224719,-0.457024618,-0.257425743,-0.516327307,40.339622642,2100,1,0.339622642
